Title,Company,Location,Salary,Snippet,Date Posted,Job Url
AI/Machine Learning (ML),Joshua Dental —,,$60 - $65 an hour,Engineering skills and understanding of clinical workflows.  Build security practices and tools into edge deployments.  Conduct statistical data analysis.,6d,https://www.simplyhired.com/job/jdX6lf4M_4qeiR2qCfHbOnhJfAEFvZhQdZ5VrhZIJXgbxlWMavrPRQ
SQL Developer,Joshua Dental —,,$45 - $50 an hour,"Assist in all phases of the reporting software development cycle including requirements gathering, analysis, design, testing, implementation, and production…",12h,https://www.simplyhired.com/job/3O-5TmOw0Ge2q_F9R3d0-iaavXEdN1U2gBZJf1cjnrJErrqkoyDv1Q
Begin a Career in Aviation! Airline Ground Crew,Altar'd State —,,$17.50 an hour,Competitive entry-level salary with room for growth. Dive into the action with routine inspections and maintenance of ground service equipment—your hands-on…,4d,https://www.simplyhired.com/job/zTPLBSdMGF5PY0gPXCC7mItEMBhuK1Bz-3f1hd-3qL22_tDMbzlZhw
Production Supervisior,Altar'd State —,,$19 - $21 an hour,The Production Supervisor will ensure all employees in the Production facility consistently adhere to AZDHS standards according to the state’s laws and…,3d,https://www.simplyhired.com/job/bfui_iT8ipWnkPBnYXppu4iPRlVyDOHyN-HY0Db8M5CeCFsD953sQg
Assets Protection Specialist,Altar'd State —,,$21.75 - $37.00 an hour,Ability to use Target's video surveillance system to monitor guests and identify potential theft risks. Support total store sales and increase profitability by…,13h,https://www.simplyhired.com/job/Vhm8HhVwsU4gE_U6ZqWoMkx5DSfNrNlq7dISVwyFQJQ1Rs0LbvVPCg
"Director of Operations - Cleveland, Market",Altar'd State —,,"$120,000 - $125,000 a year",Seek synergies and best practices to develop and implement new methods to improve productivity or improve customer service.,5d,https://www.simplyhired.com/job/Ec_rWO7RvnEWSgXBAy-Yo6O4ul4go61FbauGbOY-2O7CSdQ5ca371g
Front Counter Associate,Altar'd State —,,$12.00 - $12.50 an hour,"Handle cash and credit card transactions, ensuring proper cash handling procedures are followed. Provide excellent customer service by greeting and assisting…",4d,https://www.simplyhired.com/job/nrVq-Mx5wXeE5YC5TM7NxY95JU8WFeYgp4IdsPKOUqhxzPVmXMEsKg
Nursing Scheduling Coordinator,Altar'd State —,,$23.50 - $24.00 an hour,"Must possess the ability to plan, organize, develop, implement, and interpret the programs, goals, objectives, policies and procedures, etc., that are necessary…",5d,https://www.simplyhired.com/job/WpBmxTkWTJ1EDr9At5nI1P7rot4HsPlbeqhMPDQsW-KsQyzsZM6Y4w
Social Service Worker 3,Altar'd State —,,From $26.78 an hour,OR Bachelor’s degree in a non-related field and two (2) years’ experience working in a social services capacity. Starting pay $27.32 per hour.,15h,https://www.simplyhired.com/job/cSfl_1FEtFdZq_dBBOyNEzoi8kL_TU878wOqD_r__4BdDcyk5jpL5A
Patient Service Center Agent,Altar'd State —,,$15.40 - $19.75 an hour,Manages high volume of inbound calls based on predetermined performance metrics with first call resolution. Computer proficiency: Application of emr and related…,3d,https://www.simplyhired.com/job/jG6QphY5v1H4XjEDcVT39vfXvtRzdBULiUKb870L9bzM811zG5J6ew
Social Services Worker/Admissions,Altar'd State —,,,"Works with residents, families, and resident support persons in accordance with federal, state, and local regulations to provide emotional and social support…",3d,https://www.simplyhired.com/job/hXDM2N2WZTXQPRx6lrvjwmU7eY2uZJbNgk5WD49oFMDw9TRo1I9hqw
Full-Time Office Associate,Altar'd State —,,$15.25 an hour,"Performs all customer service and clerical support duties; this includes answering phones, managing counter inquiries, processing payments, solving customer…",6d,https://www.simplyhired.com/job/PM3pkfQhQ_Hsj-L-xU3VZs7FS44f9jOhiUB66uNcqPuFc68VXpNMZQ
"Medical Receptionist - No weekends, full benefits!",Altar'd State —,,,"We offer health/dental/vision insurance, employer-paid life insurance, Paid Time Off (PTO), employer-matched 401k, monthly incentive programs, generous employee…",4d,https://www.simplyhired.com/job/A2Z0tWk6BiLFNEg9jctt8W12v11M8o2cDLugUnNabDFyX50vQ7Qifw
Filling Specialist,Altar'd State —,,From $17 an hour,Must consent to a criminal background check performed by the Company and/or state officials. 2+ years experience in a quality or manufacturing department of a…,3d,https://www.simplyhired.com/job/TkaOt_ugpmiSo1U94hPFN4FOwHmbA__cyTXBMMhWjrixCdDqQ3SN9Q
Production Manager,Altar'd State —,,,TRUST Manufacturing is seeking an experienced Production Manager with a strong focus on ensuring on-time delivery and driving cost reduction initiatives.,6d,https://www.simplyhired.com/job/9AWbVMX7pHTQq9D2uMku2Q2gq3aoIygq5xHs-m8fO1BnqzlYoNGzLA
State Tested Nursing Assistant (STNA),Altar'd State —,,Up to $22.25 an hour,"_*State Tested Nursing Assistant (STNA), Full-time *_– Assist residents with all aspects of activities of daily living, bathing, dressing, eating, transfers,…",16h,https://www.simplyhired.com/job/Y93eF0yTx8GmAmKapTGgfggjTIDRR2t9Otu1zSJKSBMnoxW3Nbk4TQ
STNA (All Shifts),Altar'd State —,,,"Assist with kitchen and dining room tasks associated with resident meals, including preparatory work, serving, cleaning up, and setting tables, taking out trash…",3d,https://www.simplyhired.com/job/0SQTGJe4-_wZZsD73A1sy_UBWPRdvizv97iTCcTGZNf6A5mMYxOgAA
IT Help Desk Agent,Altar'd State —,,,"Open support tickets for inbound calls, email and monitoring offline servers, power and ISP. The Help Desk Agent will be responsible for providing overall Level…",8h,https://www.simplyhired.com/job/Wr2l49GzIsV1awwZhTnx-GSQVTXstrilzi6GGkxTAlHTaOqpsY8aug
Chiropractic Assistant/Receptionist-Urgent Hiring,Altar'd State —,,$15 - $20 an hour,Answer phone calls and respond to inquiries in a professional and timely manner. Proficiency in using phone systems and handling multiple calls simultaneously.,6d,https://www.simplyhired.com/job/UHJxOavJ-mNFqgCRQkpQRdSt8H9gXSm9L5849wEgkX5DHLyzo2O6rw
Experienced Utility Locator,Altar'd State —,,$19 - $27 an hour,"Able to walk on varying terrain, to include roadside and construction areas. Records/plans for facilities owned by the utility owner will be accessed on the…",4d,https://www.simplyhired.com/job/kiaebfd7XZmfWZmmrqPkEhuwdNnEn3nrhM81tfN3Gjrso8kFpoBw4A
Purchasing Agent,Altar'd State —,,"From $70,000 a year","In this role, the employee will routinely use standard office equipment such as computers, desk phones, iPhone, photocopiers, etc. HS Diploma or GED Required.",5d,https://www.simplyhired.com/job/zmr3byLT5QvVtMSp-2m6tchn0PwFuJ8GHJe18wyCM9ISRy4q4WFW4w
